13.3528 42.9773 XO AM05 EHZ 0.464
12.7657 42.5792 IV ARRO EHZ 0.253
13.4090 42.5358 IV CAMP HHZ 1.283
12.9047 43.0048 IV CESI HHZ 0.84
13.2048 43.0918 IV CSP1 EHZ 1.188
13.0873 43.0365 IV FDMO HHZ 0.55
13.0498 42.9622 IV FEMA HNZ 1.37
13.5690 42.4500 IV GIGS HHZ 0.96
13.3352 43.0627 IV GUMA HHZ 0.574
13.1905 42.9127 IV MC2 EHZ 0.002
13.1427 43.1927 IV MDAR HNZ 0.94
13.3268 42.8993 IV MMO1 EHZ 0.957
13.4693 43.1373 IV MNTP HNZ 0.325
13.1143 42.8335 IV NRCA HHZ 0.927
13.6857 42.9350 IV OFFI HHZ 0.32
13.2145 42.5090 IV RM33 EHZ 1.097
12.9477 43.1468 IV SEF1 HNZ 0.518
13.3353 42.6305 IV SMA1 EHZ 1.15
13.2508 42.6573 IV T1201 HNZ 0.934
13.2248 42.7035 IV T1202 EHZ 1.251
13.3167 42.6760 IV T1204 EHZ 1.508
12.8552 42.5328 IV T1211 EHZ 0.979
13.0447 42.7515 IV T1212 EHZ 0.869
13.2087 42.7595 IV T1214 EHZ 1.49
12.8685 42.8018 IV T1215 EHZ 0.695
13.0190 42.8907 IV T1216 EHZ 0.62
12.9313 42.7118 IV T1217 EHZ 1.004
13.1152 42.6700 IV T1218 EHZ 1.184
13.4312 42.8563 IV T1241 HHZ 0.664
13.4483 42.6965 IV T1243 HHZ 1.12
13.2978 42.7570 IV T1244 EHZ 0.95
13.1880 42.8565 IV T1245 HHZ 1.541
13.4930 42.5833 IV T1246 HHZ 1.134
13.2983 42.4415 IV T1247 HHZ 0.836
13.2822 42.6342 IV T1299 EHZ 0.94
13.6040 42.6228 IV TERO HHZ 0.673
13.0929 42.5264 YR ED01 HHZ 0.739
12.9288 42.6035 YR ED02 HHZ 0.831
13.1903 42.6030 YR ED03 HHZ 1.053
13.2972 42.5743 YR ED04 HHZ 1.303
13.3649 42.4835 YR ED05 HHZ 1.187
13.2277 42.4641 YR ED06 HHZ 0.925
13.4517 42.6282 YR ED07 HHZ 1.025
13.0542 42.4589 YR ED08 HHZ 1.016
13.4237 42.8001 YR ED09 HHZ 0.466
13.1412 42.7771 YR ED10 HHZ 0.822
13.0335 42.6884 YR ED11 HHZ 0.975
12.9772 42.8064 YR ED12 HHZ 1.127
13.4331 42.4449 YR ED14 HHZ 1.23
13.5581 42.5278 YR ED15 HHZ 1.012
13.3071 42.8371 YR ED16 HHZ 1.039
13.3086 42.9659 YR ED17 HHZ 0.815
13.2432 42.9915 YR ED18 HHZ 1.355
13.1392 42.9196 YR ED19 HHZ 1.223
13.4353 42.7488 YR ED20 HHZ 0.892
13.2723 43.0301 YR ED21 HHZ 0.72
13.3252 43.0068 YR ED22 HHZ 0.62
13.2871 42.7432 YR ED23 HHZ 1.045
13.1923 42.6556 YR ED24 HHZ 1.104
13.3519 42.5988 YR ED25 HHZ 1.353
